Date,RET
2016-03,0.066292076
2016-04,-0.011986153
2016-05,0.026879667
2016-06,-0.006986832
2016-07,0.049936818
2016-08,-0.002653051
2016-09,-0.000285045
2016-10,-0.017779109
2016-11,0.012721046
2016-12,0.009972237
2017-01,0.033791249
2017-02,0.040505647
2017-03,0.008335663
2017-04,0.022981625
2017-05,0.029675565
2017-06,-0.009383532
2017-07,0.030031439
2017-08,0.014176356
2017-09,0.007070396
2017-10,0.037163516
2017-11,0.027803948
2017-12,0.003039433
2018-01,0.076252287
2018-02,-0.021204514
2018-03,-0.031773688
2018-04,0.004934349
2018-05,0.043465321
2018-06,0.002282832
2018-07,0.037850368
2018-08,0.048431267
2018-09,0.003675053
2018-10,-0.077756325
2018-11,0.015082447
2018-12,-0.088869912
2019-01,0.079158091
2019-02,0.040664003
2019-03,0.023940632
2019-04,0.042949955
2019-05,-0.052740438
2019-06,0.057041742
2019-07,0.015193482
2019-08,-0.006893115
2019-09,-0.000256953
2019-10,0.021172907
2019-11,0.034369724
2019-12,0.023943263
2020-01,0.027306361
2020-02,-0.069713315
2020-03,-0.104260427
2020-04,0.147586436
2020-05,0.05901081
2020-06,0.038612571
2020-07,0.073548059
2020-08,0.094406385
2020-09,-0.047881382
2020-10,-0.028242311
2020-11,0.096933337
2020-12,0.037335818
2021-01,-0.002134418
2021-02,-0.00036342
2021-03,0.025081888
2021-04,0.070491674
2021-05,-0.008630637
2021-06,0.054244068
2021-07,0.039922697
2021-08,0.041456237
2021-09,-0.059635829
2021-10,0.09262493
2021-11,0.014891253
2021-12,0.022432351
